Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,Time
"5,240.00",-1.02%,130.70,132.25,133.80,144.90,unch,unch,1,9,unch,0.46557,38.14%,Call,"09:45 ET"
"5,250.00",-1.21%,125.60,126.50,127.40,112.40,+3.99,+3.68%,112,8,+6,0.45474,37.78%,Call,"12:25 ET"
"5,260.00",-1.41%,119.80,121.20,122.60,119.58,unch,unch,2,8,unch,0.44394,37.51%,Call,"11:33 ET"
"5,270.00",-1.60%,114.60,115.80,117.00,108.32,+8.91,+8.96%,17,13,+6,0.43291,37.18%,Call,"11:36 ET"
"5,275.00",-1.69%,112.70,113.40,114.10,111.30,+41.19,+58.75%,50,21,+19,0.42753,37.08%,Call,"11:36 ET"
"5,280.00",-1.79%,109.20,110.65,112.10,133.26,+51.22,+62.43%,8,80,+20,0.42186,36.89%,Call,"10:41 ET"
"5,290.00",-1.98%,104.40,105.70,107.00,105.80,+11.08,+11.70%,9,38,+31,0.41087,36.64%,Call,"12:06 ET"
"5,295.00",-2.08%,102.20,103.10,104.00,112.77,unch,unch,10,48,unch,0.40509,36.44%,Call,"09:51 ET"
"5,300.00",-2.18%,99.60,100.60,101.60,106.86,+18.06,+20.34%,24,205,+184,0.39942,36.28%,Call,"11:04 ET"
"5,305.00",-2.27%,97.30,98.25,99.20,0.00,unch,unch,0,0,unch,0.39383,36.15%,Call,N/A
"5,310.00",-2.37%,95.00,95.90,96.80,112.64,+39.06,+53.09%,22,3,+3,0.38821,36.01%,Call,"10:00 ET"
"5,315.00",-2.47%,92.60,93.50,94.40,91.90,+91.90,unch,4,1,unch,0.38249,35.85%,Call,"12:07 ET"
"5,320.00",-2.56%,90.30,91.20,92.10,101.85,+33.57,+49.17%,1,11,+9,0.37683,35.72%,Call,"10:48 ET"
"5,325.00",-2.66%,88.20,89.00,89.80,87.30,+87.30,unch,32,2,unch,0.37123,35.59%,Call,"12:07 ET"
"5,330.00",-2.76%,85.80,86.65,87.50,88.00,+12.96,+17.27%,8,262,+262,0.36542,35.43%,Call,"12:05 ET"
"5,335.00",-2.85%,83.50,84.40,85.30,104.89,-0.71,-0.67%,3,0,unch,0.35967,35.28%,Call,"10:06 ET"
"5,340.00",-2.95%,81.40,82.25,83.10,102.95,+102.95,unch,1,0,unch,0.35400,35.15%,Call,"09:30 ET"
"5,345.00",-3.04%,79.20,80.05,80.90,104.30,+104.30,unch,1,1,unch,0.34822,35.00%,Call,"10:27 ET"
"5,350.00",-3.14%,77.00,77.85,78.70,80.32,+24.25,+43.25%,9,6,+6,0.34239,34.83%,Call,"11:42 ET"
"5,355.00",-3.24%,75.00,75.80,76.60,55.89,unch,unch,0,1,unch,0.33672,34.71%,Call,04/04/25
"5,360.00",-3.33%,72.90,73.70,74.50,81.74,+81.74,unch,1,0,unch,0.33092,34.56%,Call,"09:51 ET"
"5,365.00",-3.43%,70.80,71.65,72.50,0.00,unch,unch,0,0,unch,0.32515,34.41%,Call,N/A
"5,370.00",-3.53%,68.80,69.65,70.50,71.87,+26.02,+56.75%,7,2,unch,0.31941,34.27%,Call,"11:42 ET"
"5,375.00",-3.62%,66.90,67.70,68.50,76.80,+16.18,+26.69%,11,3,unch,0.31370,34.14%,Call,"09:48 ET"
"5,380.00",-3.72%,64.90,65.70,66.50,65.06,+65.06,unch,4,1,unch,0.30681,33.80%,Call,"11:57 ET"
"5,385.00",-3.82%,63.00,63.80,64.60,0.00,unch,unch,0,0,unch,0.30214,33.84%,Call,N/A
"5,390.00",-3.91%,61.20,62.00,62.80,151.91,unch,unch,0,1,unch,0.29655,33.72%,Call,04/03/25
"5,395.00",-4.01%,59.30,60.15,61.00,51.69,unch,unch,0,26,+25,0.29082,33.58%,Call,04/07/25
"5,400.00",-4.10%,57.50,58.30,59.10,55.90,+8.90,+18.94%,5,14,+12,0.28504,33.43%,Call,"11:16 ET"
"5,405.00",-4.20%,55.70,56.55,57.40,40.97,unch,unch,0,1,+1,0.27940,33.30%,Call,04/07/25
"5,410.00",-4.30%,53.90,54.70,55.50,72.22,+22.63,+45.63%,2,3,+3,0.27352,33.13%,Call,"10:23 ET"
"5,415.00",-4.39%,52.30,53.10,53.90,59.50,+11.70,+24.48%,3,1,+1,0.26809,33.02%,Call,"10:52 ET"
"5,420.00",-4.49%,50.60,51.40,52.20,49.30,+23.22,+89.03%,9,2,+1,0.26241,32.88%,Call,"11:16 ET"
"5,425.00",-4.59%,49.00,49.80,50.60,60.80,+21.45,+54.51%,19,8,+4,0.25690,32.76%,Call,"10:45 ET"
"5,430.00",-4.68%,47.40,48.15,48.90,58.30,+58.30,unch,6,0,unch,0.25123,32.61%,Call,"10:46 ET"
"5,435.00",-4.78%,45.80,46.55,47.30,52.90,+10.57,+24.97%,3,0,unch,0.24562,32.47%,Call,"10:52 ET"
"5,440.00",-4.88%,44.30,45.05,45.80,41.12,+41.12,unch,1,5,unch,0.24020,32.34%,Call,"11:30 ET"
"5,445.00",-4.97%,42.80,43.55,44.30,38.40,unch,unch,0,35,+35,0.23474,32.21%,Call,04/07/25
"5,450.00",-5.07%,41.30,42.05,42.80,41.38,+12.69,+44.23%,3,168,+159,0.22756,31.85%,Call,"11:15 ET"
"5,460.00",-5.26%,38.40,39.15,39.90,21.45,unch,unch,0,10,+10,0.21831,31.79%,Call,N/A
"5,470.00",-5.45%,35.70,36.45,37.20,114.48,unch,unch,0,3,unch,0.20774,31.54%,Call,04/03/25
"5,475.00",-5.55%,34.40,35.10,35.80,34.48,+2.48,+7.75%,2,285,unch,0.20063,31.18%,Call,"11:15 ET"
"5,480.00",-5.65%,33.10,33.80,34.50,29.30,+9.29,+46.43%,5,8,+1,0.19713,31.26%,Call,"12:28 ET"
"5,490.00",-5.84%,30.70,31.35,32.00,29.60,+18.20,+159.65%,3,20,unch,0.18691,31.01%,Call,"11:52 ET"
"5,500.00",-6.03%,28.40,29.05,29.70,30.63,+6.43,+26.57%,1,60,+23,0.17699,30.77%,Call,"11:07 ET"
"5,510.00",-6.23%,26.10,26.75,27.40,30.70,unch,unch,0,36,unch,0.16691,30.49%,Call,04/04/25
"5,520.00",-6.42%,23.90,24.65,25.40,14.51,unch,unch,0,173,-29,0.15731,30.24%,Call,04/07/25
"5,525.00",-6.51%,22.90,23.65,24.40,26.50,+26.50,unch,2,12,unch,0.15263,30.12%,Call,"10:55 ET"
"5,530.00",-6.61%,22.00,22.70,23.40,24.58,+2.22,+9.93%,1,84,-1,0.14809,30.00%,Call,"09:45 ET"
"5,535.00",-6.71%,21.10,21.80,22.50,26.71,unch,unch,0,48,unch,0.14370,29.90%,Call,04/04/25
"5,540.00",-6.80%,20.20,20.90,21.60,30.64,unch,unch,0,24,unch,0.13927,29.79%,Call,04/04/25
"5,545.00",-6.90%,19.30,20.00,20.70,19.92,+19.92,unch,2,4,unch,0.13451,29.63%,Call,"11:48 ET"
"5,550.00",-7.00%,18.50,19.15,19.80,18.78,+3.57,+23.47%,9,114,unch,0.12905,29.38%,Call,"11:15 ET"
"5,555.00",-7.09%,17.50,18.25,19.00,25.50,+25.50,unch,6,53,unch,0.12598,29.40%,Call,"10:25 ET"
"5,560.00",-7.19%,16.70,17.45,18.20,19.03,+3.23,+20.44%,1,28,+2,0.12181,29.29%,Call,"09:51 ET"
"5,565.00",-7.29%,16.00,16.70,17.40,21.06,+21.06,unch,6,1,unch,0.11781,29.18%,Call,"10:43 ET"
"5,570.00",-7.38%,15.20,15.95,16.70,10.01,unch,unch,0,10,-27,0.11378,29.07%,Call,04/07/25
"5,575.00",-7.48%,14.50,15.20,15.90,137.06,unch,unch,0,14,unch,0.10972,28.94%,Call,04/02/25
"5,580.00",-7.57%,13.80,14.50,15.20,14.50,+0.47,+3.35%,2,1,unch,0.10585,28.83%,Call,"11:12 ET"
"5,585.00",-7.67%,13.20,13.90,14.60,13.65,+13.65,unch,22,1,unch,0.10126,28.62%,Call,"11:57 ET"
"5,590.00",-7.77%,12.50,13.20,13.90,122.72,unch,unch,0,1,unch,0.09846,28.62%,Call,03/28/25
"5,595.00",-7.86%,11.90,12.60,13.30,0.00,unch,unch,0,0,unch,0.09496,28.53%,Call,N/A
"5,600.00",-7.96%,11.40,12.05,12.70,15.10,+3.22,+27.10%,24,35,+13,0.09168,28.45%,Call,"10:08 ET"
"5,605.00",-8.06%,10.80,11.45,12.10,0.00,unch,unch,0,0,unch,0.08813,28.33%,Call,N/A
"5,610.00",-8.15%,10.30,10.95,11.60,11.61,unch,unch,0,22,unch,0.08506,28.27%,Call,04/04/25
"5,615.00",-8.25%,9.80,10.40,11.00,10.25,+6.17,+151.23%,4,1,unch,0.08094,28.06%,Call,"09:49 ET"
"5,620.00",-8.35%,9.30,9.90,10.50,11.60,+7.77,+202.87%,5,15,-1,0.07859,28.06%,Call,"10:49 ET"
"5,625.00",-8.44%,8.80,9.40,10.00,9.00,unch,unch,0,14,-1,0.07545,27.96%,Call,04/07/25
"5,630.00",-8.54%,8.50,9.00,9.50,10.55,+10.55,unch,6,22,unch,0.07282,27.91%,Call,"10:49 ET"
"5,635.00",-8.64%,8.10,8.60,9.10,11.71,+11.71,unch,5,3,unch,0.07018,27.85%,Call,"09:30 ET"
"5,640.00",-8.73%,7.70,8.20,8.70,11.16,+11.16,unch,5,4,unch,0.06752,27.79%,Call,"09:30 ET"
"5,645.00",-8.83%,7.30,7.75,8.20,27.66,unch,unch,0,2,unch,0.06458,27.67%,Call,04/03/25
"5,650.00",-8.92%,6.90,7.35,7.80,6.96,+1.03,+17.37%,3,290,-2,0.05964,27.26%,Call,"11:37 ET"
"5,655.00",-9.02%,6.50,7.00,7.50,9.70,unch,unch,0,26,unch,0.05947,27.51%,Call,04/04/25
"5,660.00",-9.12%,6.20,6.65,7.10,5.38,unch,unch,0,14,unch,0.05704,27.44%,Call,04/07/25
"5,665.00",-9.21%,5.90,6.35,6.80,4.50,unch,unch,0,31,+28,0.05489,27.39%,Call,04/07/25
"5,670.00",-9.31%,5.50,6.00,6.50,3.20,unch,unch,0,9,unch,0.05244,27.29%,Call,04/07/25
"5,675.00",-9.41%,5.20,5.65,6.10,86.44,unch,unch,0,5,unch,0.04996,27.18%,Call,04/02/25
"5,680.00",-9.50%,5.00,5.40,5.80,6.40,unch,unch,0,45,+12,0.04809,27.15%,Call,04/07/25
"5,685.00",-9.60%,4.70,5.15,5.60,21.06,unch,unch,0,3,unch,0.04621,27.11%,Call,04/03/25
"5,690.00",-9.70%,4.50,4.90,5.30,6.00,+6.00,unch,4,15,unch,0.04433,27.06%,Call,"10:08 ET"
"5,695.00",-9.79%,4.20,4.60,5.00,0.00,unch,unch,0,0,unch,0.04211,26.94%,Call,N/A
"5,700.00",-9.89%,4.00,4.40,4.80,4.20,+4.20,unch,13,51,unch,0.03921,26.70%,Call,"12:07 ET"
"5,705.00",-9.98%,3.80,4.20,4.60,0.00,unch,unch,0,0,unch,0.03896,26.90%,Call,N/A
"5,710.00",-10.08%,3.60,4.00,4.40,7.13,unch,unch,0,37,unch,0.03738,26.86%,Call,04/04/25
"5,715.00",-10.18%,3.40,3.80,4.20,3.96,unch,unch,15,0,unch,0.03687,27.02%,Call,"10:57 ET"
"5,720.00",-10.27%,3.20,3.60,4.00,3.13,unch,unch,0,25,+14,0.03420,26.76%,Call,04/07/25
"5,725.00",-10.37%,3.00,3.40,3.80,3.81,+3.81,unch,4,40,unch,0.03260,26.69%,Call,"10:55 ET"
"5,730.00",-10.47%,2.90,3.25,3.60,3.80,unch,unch,0,70,+45,0.03134,26.68%,Call,04/07/25
"5,740.00",-10.66%,2.60,2.95,3.30,3.45,-0.05,-1.43%,1,58,+52,0.02883,26.63%,Call,"10:44 ET"
"5,750.00",-10.85%,2.35,2.68,3.00,2.98,+0.38,+14.62%,22,365,-4,0.02869,27.06%,Call,"10:55 ET"
"5,760.00",-11.04%,2.10,2.43,2.75,2.85,unch,unch,0,38,unch,0.02431,26.54%,Call,04/07/25
"5,770.00",-11.24%,1.90,2.20,2.50,3.77,unch,unch,0,22,unch,0.02233,26.51%,Call,04/04/25
"5,775.00",-11.33%,1.80,2.10,2.40,1.16,unch,unch,0,16,unch,0.02143,26.50%,Call,04/07/25
"5,780.00",-11.43%,1.75,2.00,2.25,2.06,+0.06,+3.00%,14,"4,879",+16,0.02099,26.60%,Call,"09:45 ET"
"5,790.00",-11.62%,1.50,1.80,2.10,1.91,-0.41,-17.67%,15,22,unch,0.01959,26.66%,Call,"10:57 ET"
"5,800.00",-11.82%,1.45,1.67,1.90,1.85,+0.99,+115.12%,7,"4,898",-1,0.01890,26.89%,Call,"10:54 ET"
"5,810.00",-12.01%,1.25,1.53,1.80,2.03,unch,unch,0,31,+16,0.01611,26.50%,Call,04/07/25
"5,820.00",-12.20%,1.15,1.42,1.70,1.60,-0.17,-9.60%,1,22,unch,0.01653,27.02%,Call,"10:13 ET"
"5,825.00",-12.30%,1.05,1.35,1.65,1.81,unch,unch,0,191,unch,0.01441,26.56%,Call,04/07/25
"5,830.00",-12.39%,1.05,1.33,1.60,1.45,unch,unch,0,42,-1,0.01412,26.66%,Call,04/07/25
"5,840.00",-12.59%,0.95,1.23,1.50,1.82,unch,unch,0,5,unch,0.01314,26.72%,Call,04/07/25
"5,850.00",-12.78%,0.85,1.13,1.40,1.48,unch,unch,0,121,unch,0.01216,26.75%,Call,04/07/25
"5,860.00",-12.97%,0.80,1.05,1.30,0.97,unch,unch,0,51,unch,0.01139,26.83%,Call,04/07/25
"5,870.00",-13.17%,0.70,0.98,1.25,0.91,unch,unch,0,10,-4,0.01063,26.90%,Call,04/07/25
"5,875.00",-13.26%,0.70,0.95,1.20,1.65,unch,unch,0,19,unch,0.01036,26.98%,Call,04/03/25
"5,880.00",-13.36%,0.65,0.93,1.20,1.07,-0.03,-2.73%,1,15,unch,0.01132,27.55%,Call,"09:56 ET"
"5,890.00",-13.55%,0.55,0.85,1.15,0.98,unch,unch,0,11,+1,0.00933,27.08%,Call,04/07/25
"5,900.00",-13.74%,0.50,0.80,1.10,0.92,+0.92,unch,1,98,unch,0.00984,27.67%,Call,"09:56 ET"
"5,950.00",-14.71%,0.40,0.65,0.90,0.65,+0.65,unch,1,23,unch,0.00709,28.06%,Call,"10:49 ET"
"6,000.00",-15.67%,0.25,0.50,0.75,0.45,-0.25,-35.71%,3,242,+8,0.00501,28.38%,Call,"11:14 ET"
"6,100.00",-17.60%,0.35,0.45,0.55,0.50,-0.01,-1.96%,3,48,unch,0.00502,31.58%,Call,"10:50 ET"
"6,200.00",-19.53%,0.05,0.33,0.60,0.25,unch,unch,2,17,unch,0.00261,32.08%,Call,"10:50 ET"
"6,300.00",-21.46%,0.00,0.28,0.55,0.00,unch,unch,0,0,unch,0.00264,34.97%,Call,N/A
"6,400.00",-23.38%,0.10,0.30,0.50,0.25,unch,unch,0,2,unch,0.00266,37.82%,Call,03/20/25
"6,600.00",-27.24%,0.00,0.23,0.45,0.15,unch,unch,0,3,unch,0.00187,41.66%,Call,03/27/25
"6,800.00",-31.09%,0.00,0.20,0.40,0.28,unch,unch,0,1,unch,0.00154,45.83%,Call,04/07/25
"7,000.00",-34.95%,0.00,0.20,0.40,0.00,unch,unch,0,0,unch,0.00141,50.25%,Call,N/A
"7,200.00",-38.81%,0.00,0.18,0.35,0.00,unch,unch,0,0,unch,0.00117,53.91%,Call,N/A
"7,400.00",-42.66%,0.00,0.18,0.35,0.00,unch,unch,0,0,unch,0.00110,57.98%,Call,N/A
"2,200.00",-57.59%,0.10,0.30,0.50,0.55,unch,unch,0,1,+1,-0.00071,143.60%,Put,04/07/25
"2,400.00",-53.73%,0.30,0.50,0.70,0.60,+0.35,unch,2,23,unch,-0.00089,131.45%,Put,"12:30 ET"
"2,600.00",-49.88%,0.50,0.70,0.90,1.90,unch,unch,0,13,+1,-0.00176,126.31%,Put,04/07/25
"2,800.00",-46.02%,0.80,1.03,1.25,1.45,+1.45,unch,7,11,unch,-0.00267,118.04%,Put,"02:08 ET"
"3,000.00",-42.16%,1.30,1.53,1.75,1.17,+1.17,unch,5,5,unch,-0.00411,110.42%,Put,"10:27 ET"
"3,200.00",-38.31%,1.95,2.20,2.45,2.48,-2.32,-48.33%,6,7,+5,-0.00614,102.78%,Put,"11:24 ET"
"3,400.00",-34.45%,2.95,3.23,3.50,2.50,-2.00,-44.44%,1,13,-11,-0.00930,95.61%,Put,"09:36 ET"
"3,600.00",-30.60%,4.30,4.60,4.90,3.62,-6.76,-65.13%,5,175,+119,-0.01379,88.29%,Put,"09:45 ET"
"3,800.00",-26.74%,6.40,6.75,7.10,4.91,-6.41,-56.63%,16,82,-7,-0.02091,81.45%,Put,"10:27 ET"
"4,000.00",-22.89%,9.50,9.90,10.30,10.34,-6.86,-39.88%,32,315,+38,-0.03173,74.65%,Put,"11:49 ET"
